MP,Party,PGroup,Constituency,Gender,Advice,BooksArticles,Job,Speeches,Survey,TVRadio,Uncategorised,Total,Party_Conservative,Party_Labour,Party_Liberal.Democrat,Party_Other,Party_Scottish.National.Party,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,conp,labp,majp,birth_date,email,family_name,gender,given_name,id,image,sort_name,honorific_prefix,death_date,dob,age,wiki,alma,oxbridge,totalfit,confit,labfit,xcentre,ycentre
Chuka Umunna,Lib Dem,Other,Streatham,Male,0,1000,92300,3486.28,0,150,0,96936.28,0,0,1,0,0,E14000978,E12000007,London,London,England,Borough,09/06/2017 03:34,Lab hold,Lab,Con,78649,55795,161,26285,11927,38212,3611,349,1696,0,0,0,0,0,0,0,0,0,0.213764674,0.684864235,47.1099561,17/10/1978,chuka.umunna.mp@parliament.uk,Umunna,male,Chuka,465244d6-5321-434a-9ff5-7b836f750a96,https://candidates.democracyclub.org.uk/media/images/images/2918.png,"Umunna, Chuka",NA,NA,17/10/1978,43,https://en.wikipedia.org/wiki/Chuka_Umunna,University of ManchesterNottingham Trent University,FALSE,5118.147567,NA,NA,-0.836384233,51.51457439
Conor Burns,Conservative,Conservative,Bournemouth West,Male,0,0,96666.66667,0,0,0,0,96666.66667,1,0,0,0,0,E14000585,E12000009,Dorset,South West,England,Borough,09/06/2017 03:32,Con hold,Con,Lab,73195,44507,147,7711,23812,16101,2929,0,1247,0,0,0,0,0,0,0,418,0,0.535016964,0.361763318,17.3253645,24/09/1972,conor.burns.mp@parliament.uk,Burns,male,Conor,ec914731-0b3a-480f-9509-be91bb245021,https://candidates.democracyclub.org.uk/media/images/54f4ac95033446666b5fa6b5.png,"Burns, Conor",NA,NA,24/09/1972,49,https://en.wikipedia.org/wiki/Conor_Burns,University of Southampton,FALSE,3584.047082,6796.323914,NA,-3.826490034,50.81268757
Bill Wiggin,Conservative,Conservative,North Herefordshire,Male,0,0,69950,0,0,0,25064.11,95014.11,1,0,0,0,0,E14000847,E12000005,Hereford and Worcester,West Midlands,England,County,09/06/2017 04:17,Con hold,Con,Lab,67751,50177,116,21602,31097,9495,5874,0,2771,0,0,0,0,0,0,0,940,0,0.619746099,0.189230125,43.0515973,04/06/1966,bill.wiggin.mp@parliament.uk,Wiggin,male,Bill,e38334f8-2c69-44d7-aa9c-9d1039d98e44,https://candidates.democracyclub.org.uk/media/images/553c9ef941b868785b1fe67f.png,"Wiggin, Bill",NA,NA,04/06/1966,55,https://en.wikipedia.org/wiki/Bill_Wiggin,Bangor University,FALSE,4875.60507,15047.08125,NA,-3.554664341,52.303692
Iain Duncan Smith,Conservative,Conservative,Chingford And Woodford Green,Male,0,15225,33333.33333,38300,0,0,7500,94358.33333,1,0,0,0,0,E14000634,E12000007,London,London,England,County,09/06/2017 02:52,Con hold,Con,Lab,65958,46961,170,2438,23076,20638,2043,0,1204,0,0,0,0,0,0,0,0,0,0.49138647,0.43947105,5.1915419,09/04/1954,Iain.duncansmith.mp@parliament.uk,Smith,male,Iain,b854bd7d-a11d-4897-8a6d-ca183d66a4ca,https://candidates.democracyclub.org.uk/media/images/55249f84f0e9e2c82406eba7.png,"Duncan Smith, Mr Iain",The Right Honourable,NA,09/04/1954,67,https://en.wikipedia.org/wiki/Iain_Duncan_Smith,Royal Military Academy Sandhurst,FALSE,3099.810748,4671.648621,NA,0.250925764,52.49880839
Priti Patel,Conservative,Conservative,Witham,Female,0,0,90772,0,0,0,600,91372,1,0,0,0,0,E14001045,E12000006,Essex,East,England,County,09/06/2017 03:57,Con hold,Con,Lab,69137,49241,159,18646,31670,13024,2715,0,1832,0,0,0,0,0,0,0,0,0,0.643163218,0.264495035,37.8668183,29/03/1972,withammp@parliament.uk,Patel,female,NA,589f495d-4efb-4039-8045-1ec41831161e,https://candidates.democracyclub.org.uk/media/images/55350687b247335574a42e61.png,"Patel, Priti",The Right Honourable,NA,29/03/1972,49,https://en.wikipedia.org/wiki/Priti_Patel,Keele University (BA)University of Essex (MPP),FALSE,4582.391336,12819.94627,NA,0.250925764,52.88645805
Graham Brady,Conservative,Conservative,Altrincham And Sale West,Male,0,1980,87000,0,400,200,200,89780,1,0,0,0,0,E14000532,E12000002,Greater Manchester,North West,England,Borough,09/06/2017 03:56,Con hold,Con,Lab,73226,52790,132,6426,26933,20507,4051,0,1000,0,0,0,0,0,0,0,299,0,0.510191324,0.388463724,12.17276,20/05/1967,altsale@parliament.uk,Brady,male,Graham,a7f0a4e6-ce12-4263-ac2a-8ab83e9739d3,https://candidates.democracyclub.org.uk/media/images/551b3b0213eb34c82843cb60.png,"Brady, Sir Graham",NA,NA,20/05/1967,54,https://en.wikipedia.org/wiki/Graham_Brady,"St Aidan's College, Durham University (BA)",FALSE,3369.803031,5796.151185,NA,-3.554664341,53.65146284
Tim Loughton,Conservative,Conservative,East Worthing And Shoreham,Male,0,0,83166.66667,0,0,0,1450,84616.66667,1,0,0,0,0,E14000682,E12000008,West Sussex,South East,England,County,09/06/2017 05:03,Con hold,Con,Lab,75525,53117,70,5106,25988,20882,2523,1444,1273,0,0,0,0,0,0,0,1007,0,0.489259559,0.393132142,9.6127417,30/05/1962,loughtont@parliament.uk,Loughton,male,Tim,9d45abd1-68da-4f2f-933e-76f0102a9b6b,https://candidates.democracyclub.org.uk/media/images/5524a576f0e9e2c82406ebc0.png,"Loughton, Tim",NA,NA,30/05/1962,59,https://en.wikipedia.org/wiki/Tim_Loughton,"University of Warwick Clare College, Cambridge",TRUE,3268.169115,5355.388858,NA,-0.836384233,50.91361064
Greg Hands,Conservative,Conservative,Chelsea And Fulham,Male,0,0,78000,0,0,0,0,78000,1,0,0,0,0,E14000629,E12000007,London,London,England,Borough,09/06/2017 03:52,Con hold,Con,Lab,63728,42128,126,8188,22179,13991,4627,524,807,0,0,0,0,0,0,0,0,0,0.526466958,0.332106912,19.4360046,14/11/1965,handsg@parliament.uk,Hands,male,Greg,4d402af3-b527-45fb-bb86-b8626430b7b8,https://candidates.democracyclub.org.uk/media/images/5524a029f0e9e2c82406ebaa.png,"Hands, Greg",The Right Honourable,NA,14/11/1965,56,https://en.wikipedia.org/wiki/Greg_Hands,"Robinson College, Cambridge",TRUE,3675.691535,7254.262919,NA,-0.564555628,52.00939727
Oliver Letwin,Conservative,Conservative,West Dorset,Male,0,530,77000,0,0,0,0,77530,1,0,0,0,0,E14001031,E12000009,Dorset,South West,England,County,09/06/2017 02:57,Con hold,Con,LD,79048,59598,152,19091,33081,10896,13990,0,1631,0,0,0,0,0,0,0,0,0,0.555068962,0.182824927,32.0329541,19/05/1956,letwino@parliament.uk,Letwin,male,Oliver,4c2cb6c9-d832-4903-b07d-db95fcaef8c3,https://candidates.democracyclub.org.uk/media/images/55322f0029c5d53959d9e44d.png,"Letwin, Sir Oliver",The Right Honourable,NA,19/05/1956,65,https://en.wikipedia.org/wiki/Oliver_Letwin,"Trinity College, CambridgeLondon Business School",TRUE,4273.499481,10705.60298,NA,-4.37014495,50.61018369
John Whittingdale,Conservative,Conservative,Maldon,Male,2791,800,65416.66667,0,0,0,0,69007.66667,1,0,0,0,0,E14000806,E12000006,Essex,East,England,County,09/06/2017 03:03,Con hold,Con,Lab,71470,50202,99,23430,34111,10681,2181,1899,1073,0,0,0,0,0,0,0,257,0,0.679474921,0.212760448,46.6714474,16/10/1959,john.whittingdale.mp@parliament.uk,NA,male,John,6fb6f7f3-e719-4969-bbd1-e827408bf66e,https://candidates.democracyclub.org.uk/media/images/5548f70184e9778b52be3985.png,"Whittingdale, Mr John",The Right Honourable,NA,16/10/1959,62,https://en.wikipedia.org/wiki/John_Whittingdale,University College London,FALSE,5091.369664,16827.55841,NA,1.610066871,52.40135894
